starttime	seconds	ctime	dtime	ttime	wait
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	1
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	1
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	5	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	1
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
Wed May 27 07:31:29 2026	1779867089	0	6	6	0
